title,DOI,abstract,processed_abstract
Performance Evaluation Of Grid-scale Battery Energy Storage System Employing Virtual Synchronous Generator Control For Grid Code Compliance In Weak Grids,http://dx.doi.org/10.1109/SAUPEC60914.2024.10445060,"This document is on the design and testing of a gridscale Battery Energy Storage System (BESS) employing Virtual Synchronous Generator (VSG) control grid-forming scheme. The BESS is rated 60 MWh/50 MW. The simulations were conducted using MATLAB/Simulink/Simscape software. The protection functions and the associated protection relays needed to achieve these functionalities are presented. The approach adopted can apply to any relevant standard or grid code associated with a Transmission System Operator (TSO) internationally, however, the local grid codes in the context of South Africa were used. The system is designed to be compliant with the document Grid Connection Code for Battery Energy Storage Facilities (BESF) connected to the Electricity Transmission System (TS) or the Distribution System (DS) in South Africa and is classified under Category C as defined in the same document. The system was able to adjust both its active and reactive power outputs accordingly in response to load reduction conditions in the network. Furthermore, for local fault conditions, it was able to ride-through transient faults and trip and disconnect for permanent faults. For these two cases the BESS protection functionality serves as primary protection. The system was also able to trip and disconnect for remote permanent faults where the associated protection functionality is utilised as back-up protection. Index Terms-grid stability, BESS, grid-forming inverters, grid code, weak grid",document design testing gridscale battery energy storage system bess employ virtual synchronous generator vsg control gridforming scheme bess rate 60 mwh50 mw simulation conduct use matlabsimulinksimscape software protection function associate protection relay need achieve functionality present approach adopt apply relevant standard grid code associate transmission system operator tso internationally local grid code context south africa use system design compliant document grid connection code battery energy storage facility besf connect electricity transmission system ts distribution system ds south africa classify category c define document system able adjust active reactive power output accordingly response load reduction condition network furthermore local fault condition able ridethrough transient fault trip disconnect permanent fault case bess protection functionality serve primary protection system able trip disconnect remote permanent fault associate protection functionality utilise backup protection index termsgrid stability bess gridforme inverter grid code weak grid
Early prediction of battery degradation in grid-scale battery energy storage system using extreme gradient boosting algorithm,http://dx.doi.org/10.1016/j.rineng.2023.101709,"A B S T R A C T The growth of battery energy storage systems (BESS) is caused by the variability and intermittent nature of high demand and renewable power generation at the network scale. In the context of BESS, Lithium-ion (Li-ion) battery occupies a crucial position, although it is faced with challenges related to performance battery degradation over time due to electrochemical processes. This battery degradation is a crucial factor to account for, based on its potential to diminish the efficiency and safety of electrical system equipment, thereby contributing to increased system planning costs. This implies that the health of battery needs to be diagnosed, particularly by determining remaining useful life (RUL), to avoid unexpected operational costs and ensure system safety. Therefore, this study aimed to use machine learning models, specifically extreme gradient boosting (XGBoost) algorithm, to estimate RUL, with a focus on the temperature variable, an aspect that had been previously underemphasized. Utilizing XGBoost model, along with fine-tuning its hyperparameters, proved to be a more accurate and efficient method for predicting RUL. The evaluation of the model yielded promising outcomes, with a root mean square error (RMSE) of 90.1 and a mean absolute percentage error (MAPE) of 7.5 %. Additionally, the results showed that the model could improve RUL predictions for batteries within BESS. This study significantly contributed to optimizing planning and operations for BESS, as well as developing more efficient and effective maintenance strategies.",b s t r c t growth battery energy storage system bess cause variability intermittent nature high demand renewable power generation network scale context bess lithiumion liion battery occupy crucial position face challenge relate performance battery degradation time electrochemical process battery degradation crucial factor account base potential diminish efficiency safety electrical system equipment contribute increase system planning cost imply health battery need diagnose particularly determine remain useful life rul avoid unexpected operational cost ensure system safety study aim use machine learn model specifically extreme gradient boost xgboost algorithm estimate rul focus temperature variable aspect previously underemphasize utilize xgboost model finetune hyperparameter prove accurate efficient method predict rul evaluation model yield promise outcome root mean square error rmse 901 mean absolute percentage error mape 75 additionally result model improve rul prediction battery bess study significantly contribute optimize planning operation bess develop efficient effective maintenance strategy
Optimal day-ahead large-scale battery dispatch model for multi-regulation participation considering full timescale uncertainties,http://dx.doi.org/10.1016/j.rser.2023.113963,"Grid scale battery integration plays an important role in renewable energy integration and the formation of smart grid. To mitigate the problems of insufficient frequency response and peak regulation capacities faced by modern power grids with high wind energy uptake, a day-ahead optimization dispatch strategy considering operational risks is proposed in this study. In the day-ahead dispatch model, generation units and a large-scale battery energy storage station (LS-BESS) are coordinated to participate in multi-type frequency control ancillary services (FCASs). For optimal performance, scheduling in different timescales and the complementarity between power and energy types of requirements are coordinated, with various service uncertainties considered. Then the conditional value-at-risk theory is utilized to achieve the optimal mix of multiple resources for day-ahead regulation reserves, to realize the minimum operation cost. To tackle the uncertainty of wind power over a large timescale, a robust optimization (RO) approach based on the budget uncertainty set is employed, which considers robustness and economy. This can help avoid over-conservation of the standard RO and enhance the applicability of the decisions made. Simulation studies and comparison analysis of multiple schemes verify the effectiveness of the proposed optimal day-ahead dispatch strategy, which also demonstrate that a LS-BESS participating in multiple FCASs for day-ahead dispatch can help realize secure, reliable, and economic power grid.",grid scale battery integration play important role renewable energy integration formation smart grid mitigate problem insufficient frequency response peak regulation capacity face modern power grid high wind energy uptake dayahead optimization dispatch strategy consider operational risk propose study dayahead dispatch model generation unit largescale battery energy storage station lsbess coordinate participate multitype frequency control ancillary service fcass optimal performance schedule different timescale complementarity power energy type requirement coordinate service uncertainty consider conditional valueatrisk theory utilize achieve optimal mix multiple resource dayahead regulation reserve realize minimum operation cost tackle uncertainty wind power large timescale robust optimization ro approach base budget uncertainty set employ consider robustness economy help avoid overconservation standard ro enhance applicability decision simulation study comparison analysis multiple scheme verify effectiveness propose optimal dayahead dispatch strategy demonstrate lsbess participate multiple fcass dayahead dispatch help realize secure reliable economic power grid
Detection of False Data Injection Attacks in Battery Stacks Using Input Noise-Aware Nonlinear State Estimation and Cumulative Sum Algorithms,http://dx.doi.org/10.1109/TIA.2023.3308548,"-Grid-scale battery energy storage systems (BESSs) are vulnerable to false data injection attacks (FDIAs), which could be used to disrupt state of charge (SoC) estimation. Inaccurate SoC estimation has negative impacts on system availability, reliability, safety, and the cost of operation. In this article a combination of a Cumulative Sum (CUSUM) algorithm and an improved input noise-aware extended Kalman filter (INAEKF) is proposed for the detection and identification of FDIAs in the voltage and current sensors of a battery stack. The series-connected stack is represented by equivalent circuit models, the SoC is modeled with a charge reservoir model and the states are estimated using the INAEKF. The root mean squared error of the states' estimation by the modified INAEKF was found to be superior to the traditional EKF. By employing the INAEKF, this article addresses the research gap that many state estimators make asymmetrical assumptions about the noise corrupting the system. Additionally, the INAEKF estimates the input allowing for the identification of FDIA, which many alternative methods are unable to achieve. The proposed algorithm was able to detect attacks in the voltage and current sensors in 99.16% of test cases, with no false positives. Utilizing the INAEKF compared to the standard EKF allowed for the identification of FDIA in the input of the system in 98.43% of test cases.",gridscale battery energy storage system besss vulnerable false datum injection attack fdias use disrupt state charge soc estimation inaccurate soc estimation negative impact system availability reliability safety cost operation article combination cumulative sum cusum algorithm improve input noiseaware extended kalman filter inaekf propose detection identification fdias voltage current sensor battery stack seriesconnected stack represent equivalent circuit model soc model charge reservoir model state estimate use inaekf root mean square error state estimation modified inaekf find superior traditional ekf employ inaekf article address research gap state estimator asymmetrical assumption noise corrupt system additionally inaekf estimate input allow identification fdia alternative method unable achieve propose algorithm able detect attack voltage current sensor 9916 test case false positive utilize inaekf compare standard ekf allow identification fdia input system 9843 test case
Introduction to grid-scale battery energy storage system concepts and fire hazards,http://dx.doi.org/10.1002/prs.12541,"As the world continues to enact progressive climate change targets, renewable energy solutions are needed to achieve these goals. One such solution is large-scale lithium-ion battery (LIB) energy storage systems which are at the forefront in ensuring that solar- and wind-generated power is delivered when the grids need it most. However, the perceived hazards of LIBs due to recent events in the United States and Australia pose a risk to their future success. When a battery energy storage system (BESS) has a multilayered approach to safety, the thermal runaway, fire, and explosion hazards can be mitigated. Successful implementation of this approach requires cooperation, collaboration, and education across all stakeholder groups to break down these preconceived notions. Much can be learned from the recent BESS fire and explosion events to inform safer design and operation. These events and their contributing factors share many commonalities with historic losses in the hydrocarbon industry. Fire and process safety engineers who have traditionally worked in the hydrocarbon industry can be of immense value to the BESS industry.",world continue enact progressive climate change target renewable energy solution need achieve goal solution largescale lithiumion battery lib energy storage system forefront ensure solar windgenerated power deliver grid need perceive hazard lib recent event united states australia pose risk future success battery energy storage system bess multilayere approach safety thermal runaway fire explosion hazard mitigate successful implementation approach require cooperation collaboration education stakeholder group break preconceived notion learn recent bess fire explosion event inform safe design operation event contribute factor share commonality historic loss hydrocarbon industry fire process safety engineer traditionally work hydrocarbon industry immense value bess industry
Optimal Grid Flexibility Assessment for Integration of Variable Renewable-Based Electricity Generation,http://dx.doi.org/10.3390/su152015032,"This study delves into power system flexibility, with a keen focus on the integration of variable renewable electricity generation into power grids. Two scenarios were analyzed. The base scenario revealed an aging grid, insufficient generation capacity, frequent outages, and little renewable energy generation (1.9%), along with a significant (71.23%) loss of load. In contrast, the investment scenario presented solutions including raising VRE capacity to 44%, adding 1000 MW capacity transmission lines, installing 200 MW capacity grid-scale battery storage, and technological enhancements. These interventions effectively eliminated loss of load, reinforcing energy resilience. Investments in CCGPP and grid-scale batteries proved instrumental in mitigating the variability of renewable energy. Improved transmission promised efficient power exchange and regional collaboration. The elimination of annualized energy spills and the removal of ramping constraints marked significant strides in enhancing power system flexibility. This research underscores the pivotal role of grid flexibility in accommodating VRE sources. By implementing the proposed optimal solutions, Afghanistan can lead the way toward a cleaner, more resilient, and more interconnected energy future. These findings offer a replicable framework for addressing similar challenges in integrating renewable energy sources globally and supporting the transition to sustainable and reliable energy.",study delve power system flexibility keen focus integration variable renewable electricity generation power grid scenario analyze base scenario reveal age grid insufficient generation capacity frequent outage little renewable energy generation 19 significant 7123 loss load contrast investment scenario present solution include raise vre capacity 44 add 1000 mw capacity transmission line instal 200 mw capacity gridscale battery storage technological enhancement intervention effectively eliminate loss load reinforce energy resilience investment ccgpp gridscale battery prove instrumental mitigate variability renewable energy improve transmission promise efficient power exchange regional collaboration elimination annualize energy spill removal ramp constraint mark significant stride enhance power system flexibility research underscore pivotal role grid flexibility accommodate vre source implement propose optimal solution afghanistan lead way clean resilient interconnected energy future finding offer replicable framework address similar challenge integrate renewable energy source globally support transition sustainable reliable energy
Electrode Blocking Due to Redox Reactions in Aluminum Chloride-Sodium Iodide Molten Salts,http://dx.doi.org/10.1149/1945-7111/acd874,"Iodide redox reactions in molten NaI/AlCl 3 are shown to generate surface-blocking films, which may limit the useful cycling rates and energy densities of molten sodium batteries below 150 C. An experimental investigation of electrode interfacial stability at 110 C reveals the source of the reaction rate limitations. Electrochemical experiments in a 3-electrode configuration confirm an increase of resistance on the electrode surface after oxidation or reduction current is passed. Using chronopotentiometry, chronoamperometry, cyclic voltammetry, and electrochemical impedance spectroscopy, the film formation is shown to depend on the electrode material (W, Mo, Ta, or glassy carbon), as well as the Lewis acidity and molar ratio of I_/I 3_ in the molten salt electrolytes. These factors impact the amount of charge that can be passed at a given current density prior to developing excessive overpotential due to film formation that blocks the electrode surface. The results presented here guide the design and use of iodide-based molten salt electrolytes and electrode materials for grid scale battery applications.",iodide redox reaction molten naialcl 3 generate surfaceblocke film limit useful cycling rate energy density molten sodium battery 150 c experimental investigation electrode interfacial stability 110 c reveal source reaction rate limitation electrochemical experiment 3electrode configuration confirm increase resistance electrode surface oxidation reduction current pass use chronopotentiometry chronoamperometry cyclic voltammetry electrochemical impedance spectroscopy film formation depend electrode material w mo ta glassy carbon lewis acidity molar ratio ii 3 molten salt electrolyte factor impact charge pass current density prior develop excessive overpotential film formation block electrode surface result present guide design use iodidebase molten salt electrolyte electrode material grid scale battery application
A review of solar hybrid photovoltaic-thermal (PV-T) collectors and systems,http://dx.doi.org/10.1016/j.pecs.2023.101072,"In this paper, we provide a comprehensive overview of the state-of-the-art in hybrid PV-T collectors and the wider systems within which they can be implemented, and assess the worldwide energy and carbon mitigation potential of these systems. We cover both experimental and computational studies, identify opportunities for performance enhancement, pathways for collector innovation, and implications of their wider deployment at the solar-generation system level. First, we classify and review the main types of PV-T collectors, including air-based, liquid-based, dual air_water, heat-pipe, building integrated and concentrated PV-T collectors. This is followed by a presentation of performance enhancement opportunities and pathways for collector innovation. Here, we address state-of-the-art design modifications, next-generation PV cell technologies, selective coatings, spectral splitting and nanofluids. Beyond this, we address wider PV-T systems and their applications, comprising a thorough review of solar combined heat and power (S_CHP), solar cooling, solar combined cooling, heat and power (S_CCHP), solar desalination, solar drying and solar for hydrogen production systems. This includes a specific review of potential performance and cost improvements and opportunities at the solar-generation system level in thermal energy storage, control and demand-side management. Subsequently, a set of the most promising PV-T systems is assessed to analyse their carbon mitigation potential and how this technology might fit within pathways for global decarbonization. It is estimated that the REmap baseline emission curve can be reduced by more than 16% in 2030 if the uptake of solar PV-T technologies can be promoted. Finally, the review turns to a critical examination of key challenges for the adoption of PV-T technology and recommendations.",paper provide comprehensive overview stateoftheart hybrid pvt collector wide system implement assess worldwide energy carbon mitigation potential system cover experimental computational study identify opportunity performance enhancement pathway collector innovation implication wide deployment solargeneration system level classify review main type pvt collector include airbase liquidbase dual airwater heatpipe building integrate concentrate pvt collector follow presentation performance enhancement opportunity pathway collector innovation address stateoftheart design modification nextgeneration pv cell technology selective coating spectral splitting nanofluid address wide pvt system application comprise thorough review solar combine heat power schp solar cool solar combine cool heat power scchp solar desalination solar dry solar hydrogen production system include specific review potential performance cost improvement opportunity solargeneration system level thermal energy storage control demandside management subsequently set promise pvt system assess analyse carbon mitigation potential technology fit pathway global decarbonization estimate remap baseline emission curve reduce 16 2030 uptake solar pvt technology promote finally review turn critical examination key challenge adoption pvt technology recommendation
"A review on global warming potential, challenges and opportunities of renewable hydrogen production technologies",http://dx.doi.org/10.1016/j.susmat.2023.e00567,"This review compares global warming potential of renewable hydrogen production technologies including wind- and solar PV-powered water electrolysis, biomass gasification and biogas reforming based on 64 hydrogen production cases compiled from the literature. Unlike many previous studies, this review discusses the cases from various countries, while selecting the production technologies that have potential of commercialisation. Among the four reviewed technologies, wind electrolysis performed the best in global warming impacts (1.29 kg CO2 eq/kg H2), whereas biogas reforming technology performed the worst (3.61 kg CO2 eq/kg H2). Key factors that contributed to most of the impacts were found to be materials used for construction of wind- and solar- electricity generation system for both wind- and solar PV-powered electrolysis, and energy consumption during gasification processes for biomass gasification, while methane leakage during biogas production had the highest contribution to the impacts of biogas reforming cases. On average, the renewable hydrogen cases demonstrated 68_92% lower global warming potential when compared to conventional coal gasification and natural gas steam methane reforming systems. Increasing demand for renewable hydrogen and possibility of hydrogen being integrated into existing natural gas networks highlight the important role of renewable hydrogen production in the future.",review compare global warming potential renewable hydrogen production technology include wind solar pvpowere water electrolysis biomass gasification biogas reform base 64 hydrogen production case compile literature unlike previous study review discuss case country select production technology potential commercialisation review technology wind electrolysis perform good global warming impact 129 kg co2 eqkg h2 biogas reform technology perform bad 361 kg co2 eqkg h2 key factor contribute impact find material use construction wind solar electricity generation system wind solar pvpowere electrolysis energy consumption gasification process biomass gasification methane leakage biogas production high contribution impact biogas reform case average renewable hydrogen case demonstrate 6892 low global warming potential compare conventional coal gasification natural gas steam methane reform system increase demand renewable hydrogen possibility hydrogen integrate exist natural gas network highlight important role renewable hydrogen production future
Weather Impact on Solar Farm Performance: A Comparative Analysis of Machine Learning Techniques,http://dx.doi.org/10.3390/su15010439,"Forecasting the performance and energy yield of photovoltaic (PV) farms is crucial for establishing the economic sustainability of a newly installed system. The present study aims to develop a prediction model to forecast an installed PV system's annual power generation yield and performance ratio (PR) using three environmental input parameters: solar irradiance, wind speed, and ambient air temperature. Three data-based artificial intelligence (AI) techniques, namely, adaptive neuro-fuzzy inference system (ANFIS), response surface methodology (RSM), and artificial neural network (ANN), were employed. The models were developed using three years of data from an operational 2MWp Solar PV Project at Kuzhalmannam, Kerala state, India. Statistical indices such as Pearson's R, coefficient of determination (R2), root-mean-squared error (RMSE), Nash-Sutcliffe efficiency (NSCE), mean absolute-percentage error (MAPE), Kling-Gupta efficiency (KGE), Taylor's diagram, and correlation matrix were used to determine the most accurate prediction model. The results demonstrate that ANFIS was the most precise performance ratio prediction model, with an R2 value of 0.9830 and an RMSE of 0.6. It is envisaged that the forecast model would be a valuable tool for policymakers, solar energy researchers, and solar farm developers.",forecast performance energy yield photovoltaic pv farm crucial establish economic sustainability newly instal system present study aim develop prediction model forecast instal pv system annual power generation yield performance ratio pr use environmental input parameter solar irradiance wind speed ambient air temperature database artificial intelligence ai technique adaptive neurofuzzy inference system anfi response surface methodology rsm artificial neural network ann employ model develop use year datum operational 2mwp solar pv project kuzhalmannam kerala state india statistical index pearson r coefficient determination r2 rootmeansquare error rmse nashsutcliffe efficiency nsce mean absolutepercentage error mape klinggupta efficiency kge taylor diagram correlation matrix use determine accurate prediction model result demonstrate anfis precise performance ratio prediction model r2 value 09830 rmse 06 envisage forecast model valuable tool policymaker solar energy researcher solar farm developer
Voltage Sensorless Based Model Predictive Control With Battery Management System: For Solar PV Powered On-Board EV Charging,http://dx.doi.org/10.1109/TTE.2022.3213253,"This work deals with a novel voltage sensorless based model predictive control (VSPC) scheme for continuous and quick maximum power harvesting (MPH) from a photovoltaic (PV) array for a solar-powered on-board electric vehicle (EV) charging system. In VSPC, the first model predictive control (MPC) is used with a PV array to predict the system state in the horizon of time and to eliminate the voltage sensor. An adaptive concept is used for deciding the operating point, which accelerates the tracking process and improves dynamic performance during irradiation changes and shading pattern changes in partially shaded conditions. Moreover, VSPC also takes care of the EV charging process using the EV -provided battery management system (BMS) command or threshold safety limits of the EV battery. The working principle of VSPC is based on a prediction of the future behavior of the system. It realizes on a selected time horizon, in an arbitrary number of samples, which is decided according to the complexity of the fitness function. In order to minimize or maximize the fitness function, it predicts the voltage of the solar PV array as well as tunes the present control signal, which forces it to converge or reach the convergence criteria. Moreover, the cost and response time of current sensors are lower than voltage sensors. Therefore, the VSPC control gives a fast response and low power oscillations in steady-state compared to conventional techniques. This control technique is verified on a developed prototype of the PV system in different shading and irradiance conditions, as well as the system stability, is analyzed through the Bode plot. The system performance is also compared with the state-of-the-art methods.",work deal novel voltage sensorless base model predictive control vspc scheme continuous quick maximum power harvesting mph photovoltaic pv array solarpowere onboard electric vehicle ev charge system vspc model predictive control mpc use pv array predict system state horizon time eliminate voltage sensor adaptive concept use decide operating point accelerate tracking process improve dynamic performance irradiation change shading pattern change partially shaded condition vspc care ev charge process use ev provide battery management system bms command threshold safety limit ev battery work principle vspc base prediction future behavior system realize select time horizon arbitrary number sample decide accord complexity fitness function order minimize maximize fitness function predict voltage solar pv array tune present control signal force converge reach convergence criterion cost response time current sensor low voltage sensor vspc control fast response low power oscillation steadystate compare conventional technique control technique verify develop prototype pv system different shading irradiance condition system stability analyze bode plot system performance compare stateoftheart method
Generation of green hydrogen using self-sustained regenerative fuel cells: Opportunities and challenges,http://dx.doi.org/10.1016/j.ijhydene.2023.03.430,"The ever-increasing energy demand, depleting fossil fuel reserves, and rising temperatures due to greenhouse gas emissions have necessitated the transition towards the generation of green and clean energy through renewable energy sources. Solar energy is one such renewable energy source that has received significant attention owing to its abundance and inexhaustibility. However, solar energy alone cannot replace fossil fuels in the energy portfolio. There exists a need to develop another clean energy source that can potentially act as an alternative to conventional fuels. Hydrogen proves to be an ideal candidate in this domain and can be sustainably generated by water electrolysis by powering the electrolyzer using solar energy. The hydrogen thus synthesized has net zero carbon emissions and is a suitable asset for decarbonizing the environment. This review encompasses the generation of hydrogen using PV-Electrolyzer systems and addresses the challenges associated with the same. Overcoming these drawbacks can ensure a strong position for hydrogen as an alternative fuel in the energy infrastructure. By employing electrolyzers that are fueled by renewable energy and then using that hydrogen to feed a fuel cell, this study aims to clarify the potential and constraints of producing green hydrogen. Since this area of research has not yet been fully investigated, a review article that enables and encourages academics to develop original solutions is urgently needed.",everincrease energy demand deplete fossil fuel reserve rise temperature greenhouse gas emission necessitate transition generation green clean energy renewable energy source solar energy renewable energy source receive significant attention owe abundance inexhaustibility solar energy replace fossil fuel energy portfolio exist need develop clean energy source potentially act alternative conventional fuel hydrogen prove ideal candidate domain sustainably generate water electrolysis power electrolyzer use solar energy hydrogen synthesize net zero carbon emission suitable asset decarbonize environment review encompass generation hydrogen use pvelectrolyzer system address challenge associate overcome drawback ensure strong position hydrogen alternative fuel energy infrastructure employ electrolyzer fuel renewable energy use hydrogen feed fuel cell study aim clarify potential constraint produce green hydrogen area research fully investigate review article enable encourage academic develop original solution urgently need
Design and investigation of PV string/central architecture for bayesian fusion technique using grey wolf optimization and flower pollination optimized algorithm,http://dx.doi.org/10.1016/j.enconman.2023.117078,"One of the most essential factors in the current study is effectively harvesting the Maximum Power Extraction (MPE) from the Photovoltaic (PV) panel. The primary difficulties in extracting solar power is occurrence of partial shading which causes the panel to significantly increases power loss. These will mainly occur due to when partially shaded solar PV array kept under certain critical conditions for obtaining maximum output power. Many researcher have suggested by connecting bypass diodes in anti-parallel to the PV modules hotspots in the modules can be avoided. Out of all techniques, the proposed Bayesian Fusion Technique (BFT) is a hybrid optimization algorithm that combines the Grey Wolf Optimization (GWO) and Flower Pollination Algorithm (FPA) techniques to optimize the performance of solar panels in photovoltaic (PV) systems. The combination of GWO and FPA forms an ideal combination that is beneficial for optimizing the performance of PV systems is determined in this work. In this study real 6*6 PV array string and irregular PV array configuration such as central and parallel-series PV string combination of various partial shading pattern is compared and found to be effective for reducing the hotspots problems. The performance of these configuration under different shading patterns have been compared and analyzed with the different parameters like output power, conversion efficiency and tracking efficiency. This article state about the influence of partial darkening and the crucial point that reduce the sensitivity to shading heaviness. For better understanding for reader the MATLAB/Simulink software is used to validate the simulation result with real time data. Overall, this article states the BFT is an efficient and reliable approach to improve the efficiency of PV systems, by combining two optimization techniques like GWO and FPA hybrid algorithm. This article gives clear insight to the researchers for choosing BFT-GWO algorithm in order to decrease the cost and wastage of energy for achieving better solar panel performance.",essential factor current study effectively harvest maximum power extraction mpe photovoltaic pv panel primary difficulty extract solar power occurrence partial shading cause panel significantly increase power loss mainly occur partially shade solar pv array certain critical condition obtain maximum output power researcher suggest connect bypass diode antiparallel pv module hotspot module avoid technique propose bayesian fusion technique bft hybrid optimization algorithm combine grey wolf optimization gwo flower pollination algorithm fpa technique optimize performance solar panel photovoltaic pv system combination gwo fpa form ideal combination beneficial optimize performance pv system determine work study real 66 pv array string irregular pv array configuration central parallelserie pv string combination partial shading pattern compare find effective reduce hotspot problem performance configuration different shading pattern compare analyze different parameter like output power conversion efficiency track efficiency article state influence partial darken crucial point reduce sensitivity shading heaviness understand reader matlabsimulink software use validate simulation result real time datum overall article state bft efficient reliable approach improve efficiency pv system combine optimization technique like gwo fpa hybrid algorithm article clear insight researcher choose bftgwo algorithm order decrease cost wastage energy achieve solar panel performance
An improved genetic algorithm based fractional open circuit voltage MPPT for solar PV systems,http://dx.doi.org/10.1016/j.egyr.2022.12.088,"To extract the maximum power from solar PV, maximum power point tracking (MPPT) controllers are needed to operate the PV arrays at their maximum power point under varying environmental conditions. Fractional Open Circuit Voltage (FOCV) is a simple, cost-effective, and easy to implement MPPT technique. However, it suffers from the discontinuous power supply and low tracking efficiency. To overcome these drawbacks, a new hybrid MPPT technique based on the Genetic Algorithm (GA) and FOCV is proposed. The proposed technique is based on a single decision variable, reducing the complexity and convergence time of the algorithm. MATLAB/Simulink is used to test the robustness of the proposed technique under uniform and non-uniform irradiance conditions. The performance is compared to the Perturb & Observe, Incremental Conductance, and other hybrid MPPT techniques. Furthermore, the efficacy of the proposed technique is also assessed against a commercial PV system¡¯s power output over one day. The results demonstrate that the proposed GA-FOCV technique improves the efficiency of the conventional FOCV method by almost 3%, exhibiting an average tracking efficiency of 99.96% and tracking speed of around 0.07 s with minimal steady-state oscillations. Additionally, the proposed technique can also efficiently track the global MPP under partial shading conditions and offers faster tracking speed, higher efficiency, and fewer oscillations than other hybrid MPPT techniques.",extract maximum power solar pv maximum power point track mppt controller need operate pv array maximum power point vary environmental condition fractional open circuit voltage focv simple costeffective easy implement mppt technique suffer discontinuous power supply low tracking efficiency overcome drawback new hybrid mppt technique base genetic algorithm ga focv propose propose technique base single decision variable reduce complexity convergence time algorithm matlabsimulink use test robustness propose technique uniform nonuniform irradiance condition performance compare perturb observe incremental conductance hybrid mppt technique furthermore efficacy propose technique assess commercial pv system¡¯s power output day result demonstrate propose gafocv technique improve efficiency conventional focv method 3 exhibit average tracking efficiency 9996 track speed 007 s minimal steadystate oscillation additionally propose technique efficiently track global mpp partial shading condition offer fast track speed high efficiency oscillation hybrid mppt technique
"Solar Energy: Applications, Trends Analysis, Bibliometric Analysis and Research Contribution to Sustainable Development Goals (SDGs)",http://dx.doi.org/10.3390/su15021418,"Over the past decade, energy demand has witnessed a drastic increase, mainly due to huge development in the industry sector and growing populations. This has led to the global utilization of renewable energy resources and technologies to meet this high demand, as fossil fuels are bound to end and are causing harm to the environment. Solar PV (photovoltaic) systems are a renewable energy technology that allows the utilization of solar energy directly from the sun to meet electricity demands. Solar PV has the potential to create a reliable, clean and stable energy systems for the future. This paper discusses the different types and generations of solar PV technologies available, as well as several important applications of solar PV systems, which are __arge-Scale Solar PV_, __esidential Solar PV_, __reen Hydrogen_, __ater Desalination_ and __ransportation_. This paper also provides research on the number of solar papers and their applications that relate to the Sustainable Development Goals (SDGs) in the years between 2011 and 2021. A total of 126,513 papers were analyzed. The results show that 72% of these papers are within SDG 7: Affordable and Clean Energy. This shows that there is a lack of research in solar energy regarding the SDGs, especially SDG 1: No Poverty, SDG 4: Quality Education, SDG 5: Gender Equality, SDG 9: Industry, Innovation and Infrastructure, SDG 10: Reduced Inequality and SDG 16: Peace, Justice and Strong Institutions. More research is needed in these fields to create a sustainable world with solar PV technologies.",past decade energy demand witness drastic increase mainly huge development industry sector grow population lead global utilization renewable energy resource technology meet high demand fossil fuel bind end cause harm environment solar pv photovoltaic system renewable energy technology allow utilization solar energy directly sun meet electricity demand solar pv potential create reliable clean stable energy system future paper discuss different type generation solar pv technology available important application solar pv system argescale solar pv esidential solar pv reen hydrogen ater desalination ransportation paper provide research number solar paper application relate sustainable development goal sdgs year 2011 2021 total 126513 paper analyze result 72 paper sdg 7 affordable clean energy lack research solar energy regard sdgs especially sdg 1 poverty sdg 4 quality education sdg 5 gender equality sdg 9 industry innovation infrastructure sdg 10 reduce inequality sdg 16 peace justice strong institution research need field create sustainable world solar pv technology
